Question,Retrieved source,Retrieved context relevance,Generated answer,Grounded / Not Grounded,Correct / Incorrect,Notes
What is the time complexity of binary search?,cs101_data_structures.pdf (Page 4),High,According to cs101_data_structures.pdf (Page 4): cates a target element in a sorted array by repeatedly halving the search interval,Grounded,Correct,"Retrieved expected source (cs101_data_structures.pdf, Page 4) with cosine distance 0.386."
What are the four Coffman conditions required for a deadlock to occur?,cs102_operating_systems.pdf (Page 3),High,According to cs102_operating_systems.pdf (Page 3): CS102: Operating Systems Concepts — Page 3: Deadlock Principles and Management 1,Grounded,Correct,"Retrieved expected source (cs102_operating_systems.pdf, Page 3) with cosine distance 0.271."
What is the primary difference between TCP and UDP transport protocols?,cs104_computer_networks.pdf (Page 3),High,According to cs104_computer_networks.pdf (Page 3): CS104: Computer Networks and Protocols — Page 3: Transport Layer: TCP vs,Grounded,Correct,"Retrieved expected source (cs104_computer_networks.pdf, Page 3) with cosine distance 0.389."
What do the ACID properties guarantee in database transactions?,cs103_database_systems.pdf (Page 3),High,According to cs103_database_systems.pdf (Page 3): CS103: Database Management Systems — Page 3: Transactions and ACID Guarantees 1,Grounded,Correct,"Retrieved expected source (cs103_database_systems.pdf, Page 3) with cosine distance 0.267."
How do AVL trees maintain balance and what is the allowed balance factor?,cs101_data_structures.pdf (Page 2),High,"According to cs101_data_structures.pdf (Page 2): sal (Left, Root, Right) of a BST outputs elements in monotonically ascending order",Grounded,Correct,"Retrieved expected source (cs101_data_structures.pdf, Page 2) with cosine distance 0.364."
What is Belady's Anomaly and which page replacement algorithm suffers from it?,cs102_operating_systems.pdf (Page 4),High,According to cs102_operating_systems.pdf (Page 4): s Time (EMAT) = HitRate * (TLB_access + RAM_access) + (1 - HitRate) * (TLB_access + 2 * RAM_access),Grounded,Correct,"Retrieved expected source (cs102_operating_systems.pdf, Page 4) with cosine distance 0.372."
What is the requirement for a relation to be in Boyce-Codd Normal Form (BCNF)?,cs103_database_systems.pdf (Page 2),High,According to cs103_database_systems.pdf (Page 2): ating groups and multi-valued attributes are eliminated,Grounded,Correct,"Retrieved expected source (cs103_database_systems.pdf, Page 2) with cosine distance 0.379."
How does Link-State routing (OSPF) differ from Distance-Vector routing (RIP)?,cs104_computer_networks.pdf (Page 2),High,According to cs104_computer_networks.pdf (Page 2): thernet MAC addresses on a local subnet,Grounded,Correct,"Retrieved expected source (cs104_computer_networks.pdf, Page 2) with cosine distance 0.453."
What is the chemical composition and crystal structure of basaltic volcanic rock?,cs102_operating_systems.pdf (Page 2) [Irrelevant Dist: 0.866],Low / Irrelevant,I could not find this information in the provided documents.,Grounded,Correct,Unsupported query correctly identified. Cosine distance to nearest unrelated chunk: 0.866.
How does quantum key distribution using BB84 protocol achieve unconditional security?,cs104_computer_networks.pdf (Page 3) [Irrelevant Dist: 0.752],Low / Irrelevant,I could not find this information in the provided documents.,Grounded,Correct,Unsupported query correctly identified. Cosine distance to nearest unrelated chunk: 0.752.
